Alabama	34,308  28,183 74,966	-46,783	208,163	173,855	
Alaska	-2,525  9,404 10,313	-909	49,497	52,022	
Arizona	16,428  42,909 52,581	-9,672	212,829	196,401	
Arkansas	7,124  12,436 17,671	-5,235	116,461	109,337	
California	2,943,447  318,064 325,343	-7,279	4,831,022	1,887,575	
Colorado	540  28,322 38,662	-10,340	229,253	228,713	
Connecticut	-6,967  36,166 33,041	3,125	302,144	309,111	
Delaware	11,271  6,183 7,947	-1,764	56,248	44,977	
District of Columbia	-575  8,133 8,708		56,751	52,534	4,217
Florida	-111,039  173,191 433,103	-259,912	429,515	540,554	
Georgia	124,404  226,884 266,565	-39,681	883,260	758,856	
Hawaii	19,836  16,112 22,495	-6,383	88,316	68,480	
Idaho	-1,633  7,194 8,827		70,220	71,416	-1,196
Illinois	16,402  74,476 81,596	-7,120	697,443	681,041	
Indiana	27,105  43,777 55,774	-11,997	281,034	253,929	
Iowa	12,387  24,693 27,220	-2,527	181,358	168,971	
Kansas	8,397  18,281 24,483	-6,202	127,419	119,022	
Kentucky	-4,677  80,060 91,223	-11,163	256,115	260,792	
Louisiana	-14,004  52,137 66,141		308,154	300,657	7,497
Maine	1,670  16,175 7,661	8,514	74,811	73,141	
Maryland	27,337  65,262 37,925		222,484	224,232	-1,748
Massachusetts	-15,910  55,448 71,358		557,019	532,508	24,511
Michigan	106,745  68,952 82,004	-13,052	1,041,344	934,599	
Minnesota	16,059  47,134 48,595	-1,461	433,052	416,993	
Mississippi	44,312  24,810 29,906	-5,096	180,034	135,722	
Missouri	-13,785  49,402 55,299	-5,897	242,013	255,798	
Montana	-4,126  4,263 7,052	-2,789	63,347	67,473	
Nebraska	-11,120  6,555 8,229	-1,674	65,508	76,628	
Nevada	25,303  30,735 42,541	-11,806	300,153	274,850	
New Hampshire	8,632  11,834 15,001	-3167	115,473	106,841	
New Jersey	22,072  87,540 71,966	15,574	643,825	621,753	
New Mexico	4,708  16,801 12,093		98,608	94,149	4,459
New York	138,826  195,242 219,413	-24,171	1,755,635	1,616,809	
North Carolina	31,252  84,716 98,941	-14,225	586,291	555,039	
North Dakota	3,972  4,689 6,274	-1,585	39,485	35,513	
Ohio	-66,799  61,046 93,599	-32,553	710,415	777,214	
Oklahoma	19,788  68,237 52,500	15,737	154,338	134,550	
Oregon	204,337  45,102 49,300	-4,198	488,823	284,486	
Pennsylvania	335,070  96,603 127,896	-31,293	1,250,319	915,249	
Puerto Rico	4,387  21,673 17,286		143,016	153,421	-10,405
Rhode Island	2,412  9,109 13,084	-3,975	99,075	96,663	
South Carolina	17,115  46,747 66,438	-19,691	258,071	240,956	
South Dakota	1,229  3,756 5,535	-1779	23,936	22,707	
Tennessee	-7,505  37,319 42,805	-5,486	333,528	341,033	
Texas	188,706  247,179 254,084	-6,905	1,150,828	962,122	
Utah	3,304  9,057 11,738	-2,681	92,799	89,495	
Vermont	-15,949  3,759 5,117	-1,358	60,508	76,457	
Virgin Islands	416  11 103	-92	1,884	1,468	
Virginia	35,656  61,138 72,488	-11,350	376,951	341,295	
Washington	58,066  109,167 139,505	-30,338	631,440	573,374	
West Virginia	-25,962  12,996 29,818	-16,822	120,604	146,566	
Wisconsin	-5,126  38,002 49,993	-11,991	315,937	321,063	
Wyoming	2,431  2,026 3,497	-1,471	18,997	16,566	
